year,institution_name,classification_code,classification_name,ef_male_count,partic_men,rev_men,exp_men,total_exp_menwomen,sports,Win Percentage
2019,Old Dominion University,1,NCAA Division I-FBS,6584,118,12279870,12279870,12279870,Football,8.30%
2019,Oregon,1,NCAA Division I-FBS,7938,120,77569503,32734040,32734040,Football,85.70%
2019,Oregon State University,1,NCAA Division I-FBS,9742,126,35619476,21931124,21931124,Football,41.70%
2019,Pennsylvania State University-Main Campus,1,NCAA Division I-FBS,35954,123,101678317,50608202,50608202,Football,84.60%
2019,Pittsburgh-Pittsburgh Campus,1,NCAA Division I-FBS,8458,117,37895873,32490589,32490589,Football,61.50%
2019,Purdue University-Main Campus,1,NCAA Division I-FBS,18755,109,51946990,23815344,23815344,Football,33.30%
2019,Rice University,1,NCAA Division I-FBS,2033,105,13729316,13729316,13729316,Football,25.00%
2019,Rutgers University-New Brunswick,1,NCAA Division I-FBS,17189,122,32874357,32874357,32874357,Football,16.70%
2019,San Diego State University,1,NCAA Division I-FBS,12122,119,13576870,16899563,16899563,Football,76.90%
2019,San Jose State University,1,NCAA Division I-FBS,11654,100,10287259,10287259,10287259,Football,41.70%
2019,South Alabama,1,NCAA Division I-FBS,3199,117,8761787,8979034,8979034,Football,16.70%
2019,South Carolina-Columbia,1,NCAA Division I-FBS,12029,117,69255386,34170807,34170807,Football,33.30%
2019,South Florida-Main Campus,1,NCAA Division I-FBS,11110,109,19748130,19748130,19748130,Football,33.30%
2019,Southern Methodist University,1,NCAA Division I-FBS,3314,140,21199002,21199002,21199002,Football,76.90%
2019,Southern Mississippi,1,NCAA Division I-FBS,3367,114,7761592,7761592,7761592,Football,53.90%
2019,Stanford University,1,NCAA Division I-FBS,3467,102,40933017,27738893,27738893,Football,33.30%
2019,Syracuse University,1,NCAA Division I-FBS,6716,127,42622806,27710505,27710505,Football,41.70%
2019,TCU,1,NCAA Division I-FBS,3812,133,61245684,41053901,41053901,Football,41.70%
2019,Temple University,1,NCAA Division I-FBS,11802,121,24282137,24282137,24282137,Football,61.50%
2019,Tennessee-Knoxville,1,NCAA Division I-FBS,10655,130,91615408,38115086,38115086,Football,61.50%
2019,Texas,1,NCAA Division I-FBS,16826,120,144426105,39503076,39503076,Football,61.50%
2019,Texas A&M,1,NCAA Division I-FBS,24943,136,78052665,40626375,40626375,Football,61.50%
2019,Texas State University,1,NCAA Division I-FBS,11430,120,8578422,8578422,8578422,Football,25.00%
2019,Texas Tech University,1,NCAA Division I-FBS,14529,124,47746305,21593943,21593943,Football,33.30%
2019,Toledo,1,NCAA Division I-FBS,6289,128,10355750,10355750,10355750,Football,50.00%
2019,Troy University,1,NCAA Division I-FBS,3281,125,7431780,8129799,8129799,Football,41.70%
2019,Tulane Louisiana,1,NCAA Division I-FBS,3012,116,11487992,11899611,11899611,Football,53.90%
2019,Tulsa,1,NCAA Division I-FBS,1678,132,13268287,13268287,13268287,Football,33.30%
2019,UCLA,1,NCAA Division I-FBS,12819,128,37548589,32311479,32311479,Football,33.30%
2019,USC,1,NCAA Division I-FBS,9333,118,53380160,36363652,36363652,Football,61.50%
2019,Utah,1,NCAA Division I-FBS,9723,132,62643143,31759405,31759405,Football,78.60%
2019,Utah State University,1,NCAA Division I-FBS,7919,112,13542393,13542393,13542393,Football,53.90%
2019,VA Tech,1,NCAA Division I-FBS,16267,121,50292457,35625481,35625481,Football,61.50%
2019,Vanderbilt University,1,NCAA Division I-FBS,3296,111,33385110,29215452,29215452,Football,25.00%
2019,Virginia Main Campus,1,NCAA Division I-FBS,7320,133,43316163,27576886,27576886,Football,64.30%
2019,Wake Forest University,1,NCAA Division I-FBS,2447,125,24698755,24698755,24698755,Football,61.50%
2019,Washington State University,1,NCAA Division I-FBS,10777,137,44039717,23049902,23049902,Football,46.20%
2019,Washington-Seattle Campus,1,NCAA Division I-FBS,13237,107,91704081,38441025,38441025,Football,61.50%
2019,West Virginia University,1,NCAA Division I-FBS,9814,127,18962505,22221317,22221317,Football,41.70%
2019,Western Kentucky University,1,NCAA Division I-FBS,4756,127,9956826,9956826,9956826,Football,69.20%
2019,Western Michigan University,1,NCAA Division I-FBS,7406,110,9275641,9275641,9275641,Football,53.90%
2019,Wisconsin-Madison,1,NCAA Division I-FBS,14175,117,87408161,29316118,29316118,Football,71.40%
2019,Wyoming,1,NCAA Division I-FBS,4155,118,17300935,12391721,12391721,Football,61.50%
2018,Akron Main Campus,1,NCAA Division I-FBS,6500,110,8186577,8186577,8186577,Football,33.30%
2018,Alabama,1,NCAA Division I-FBS,13265,133,94604899,69718059,69718059,Football,93.30%
2018,Appalachian State University,1,NCAA Division I-FBS,7211,121,9365952,9365952,9365952,Football,84.60%
2018,Arizona,1,NCAA Division I-FBS,13684,123,43272457,22548661,22548661,Football,41.70%
2018,Arizona State University-Tempe,1,NCAA Division I-FBS,21732,117,39007842,26245544,26245544,Football,53.90%
2018,Arkansas,1,NCAA Division I-FBS,9697,125,76463785,43162670,43162670,Football,16.70%
2018,Arkansas State University-Main Campus,1,NCAA Division I-FBS,2869,116,7789945,7789945,7789945,Football,61.50%
2018,Auburn University,1,NCAA Division I-FBS,11183,122,95157216,47846261,47846261,Football,61.50%
2018,Ball State University,1,NCAA Division I-FBS,5922,121,7135305,7135305,7135305,Football,33.30%
2018,Baylor University,1,NCAA Division I-FBS,5632,118,45580767,30995620,30995620,Football,53.90%
2018,Boise State University,1,NCAA Division I-FBS,5748,113,20281713,14600947,14600947,Football,76.90%
2018,Boston College,1,NCAA Division I-FBS,4508,111,32347820,24855252,24855252,Football,58.30%
2018,Bowling Green State University-Main Campus,1,NCAA Division I-FBS,5670,108,7750248,7750248,7750248,Football,25.00%
2018,Brigham Young University-Provo,1,NCAA Division I-FBS,14164,125,23171603,21180680,21180680,Football,53.90%
2018,California-Berkeley,1,NCAA Division I-FBS,13997,120,33532252,27790118,27790118,Football,53.90%
2018,Central Florida,1,NCAA Division I-FBS,19022,139,30248726,24767711,24767711,Football,92.30%
2018,Central Michigan University,1,NCAA Division I-FBS,6047,116,8175068,8175068,8175068,Football,8.30%
2018,Cincinnati-Main Campus,1,NCAA Division I-FBS,12060,115,14998887,14998887,14998887,Football,84.60%
2018,Clemson University,1,NCAA Division I-FBS,9613,124,61378516,55649888,55649888,Football,100.00%
2018,Colorado Boulder,1,NCAA Division I-FBS,15325,116,43461696,29642881,29642881,Football,41.70%
2018,Colorado State University-Fort Collins,1,NCAA Division I-FBS,10540,112,24782902,24782902,24782902,Football,25.00%
2018,Connecticut,1,NCAA Division I-FBS,8998,102,16224408,16224408,16224408,Football,8.30%
2018,Duke University,1,NCAA Division I-FBS,3278,116,40328603,28806459,28806459,Football,61.50%
2018,East Carolina University,1,NCAA Division I-FBS,8478,115,14136043,14094264,14094264,Football,25.00%
2018,Eastern Michigan University,1,NCAA Division I-FBS,4516,113,8770408,8770408,8770408,Football,53.90%
2018,Florida,1,NCAA Division I-FBS,13633,119,84837920,39149664,39149664,Football,41.70%
2018,Florida Atlantic University,1,NCAA Division I-FBS,7004,132,11877533,11877533,11877533,Football,76.90%
2018,Florida International University,1,NCAA Division I-FBS,11715,109,14200561,11771431,11771431,Football,69.20%
2018,Florida State University,1,NCAA Division I-FBS,12263,108,68893857,68893857,68893857,Football,41.70%
2018,GA Southern,1,NCAA Division I-FBS,8848,127,6123720,6123720,6123720,Football,76.90%
2018,GA Tech,1,NCAA Division I-FBS,8654,124,42553892,29744089,29744089,Football,53.90%
2018,Georgia,1,NCAA Division I-FBS,11922,135,123073722,49207808,49207808,Football,78.60%
2018,Georgia State University,1,NCAA Division I-FBS,8556,111,8267631,8267631,8267631,Football,16.70%
2018,Hawaii at Manoa,1,NCAA Division I-FBS,4529,120,12737691,12737691,12737691,Football,57.10%
2018,Houston,1,NCAA Division I-FBS,13749,118,18656864,18656864,18656864,Football,61.50%
2018,Illinois at Urbana-Champaign,1,NCAA Division I-FBS,17413,103,58155936,23418953,23418953,Football,33.30%
2018,Indiana University-Bloomington,1,NCAA Division I-FBS,16111,122,52577443,24216483,24216483,Football,41.70%
2018,Iowa,1,NCAA Division I-FBS,10010,124,81037375,36838032,36838032,Football,69.20%
2018,Iowa State University,1,NCAA Division I-FBS,15988,139,51931511,26960124,26960124,Football,61.50%
2018,Kansas,1,NCAA Division I-FBS,8361,130,38148252,25325279,25325279,Football,25.00%
2018,Kansas State University,1,NCAA Division I-FBS,8619,129,46167900,20549475,20549475,Football,41.70%
2018,Kent State University at Kent,1,NCAA Division I-FBS,6976,97,6901879,6901879,6901879,Football,16.70%
2018,Kentucky,1,NCAA Division I-FBS,9010,124,41366437,31446474,31446474,Football,76.90%
2018,LA Lafayette,1,NCAA Division I-FBS,5487,137,11050193,11050193,11050193,Football,50.00%
2018,LA Monroe,1,NCAA Division I-FBS,1866,125,5304043,5304043,5304043,Football,50.00%
2018,LA Tech University,1,NCAA Division I-FBS,4319,100,8572588,8443279,8443279,Football,61.50%
2018,Louisville,1,NCAA Division I-FBS,5463,120,47327709,44057106,44057106,Football,16.70%
2018,LSU,1,NCAA Division I-FBS,10443,118,91950610,35319160,35319160,Football,76.90%
2018,Marshall University,1,NCAA Division I-FBS,3179,118,10442448,9825687,9825687,Football,69.20%
2018,Maryland-College Park,1,NCAA Division I-FBS,14934,114,46592593,28507867,28507867,Football,41.70%
2018,Memphis,1,NCAA Division I-FBS,5090,116,17856441,17856441,17856441,Football,57.10%
2018,Miami,1,NCAA Division I-FBS,4959,113,56257383,56257383,56257383,Football,53.90%
2018,Miami University-Oxford,1,NCAA Division I-FBS,8245,115,9272010,9272010,9272010,Football,50.00%
2018,Michigan State University,1,NCAA Division I-FBS,17360,117,75545976,33928232,33928232,Football,53.90%
2018,Michigan-Ann Arbor,1,NCAA Division I-FBS,14503,140,122270243,47430574,47430574,Football,76.90%
2018,Middle Tennessee State University,1,NCAA Division I-FBS,7141,124,10063147,10063147,10063147,Football,57.10%
2018,Minnesota-Twin Cities,1,NCAA Division I-FBS,13569,115,63016508,32403693,32403693,Football,53.90%
2018,Mississippi,1,NCAA Division I-FBS,7087,117,48247277,32215416,32215416,Football,41.70%
2018,Mississippi State University,1,NCAA Division I-FBS,8145,121,38035088,24026197,24026197,Football,61.50%
2018,Missouri-Columbia,1,NCAA Division I-FBS,9734,119,38471523,23586363,23586363,Football,61.50%
2018,Nebraska-Lincoln,1,NCAA Division I-FBS,10207,158,94336296,34574999,34574999,Football,33.30%
2018,Nevada-Reno,1,NCAA Division I-FBS,7202,123,10710232,10710232,10710232,Football,61.50%
2018,New Mexico Main Campus,1,NCAA Division I-FBS,5963,111,9160962,9160962,9160962,Football,25.00%
2018,New Mexico State University Main Campus,1,NCAA Division I-FBS,4329,114,8565863,8565863,8565863,Football,25.00%
2018,North Carolina at Charlotte,1,NCAA Division I-FBS,11236,144,9715195,9715195,9715195,Football,18.20%
2018,North Carolina State University at Raleigh,1,NCAA Division I-FBS,11695,116,45701857,23334366,23334366,Football,69.20%
2018,North Texas,1,NCAA Division I-FBS,11888,109,11692600,11692600,11692600,Football,69.20%
2018,Northern Illinois University,1,NCAA Division I-FBS,5511,108,8386474,8386474,8386474,Football,57.10%
2018,Northwestern University,1,NCAA Division I-FBS,3999,118,63246903,32136417,32136417,Football,64.30%
2018,Notre Dame,1,NCAA Division I-FBS,4477,120,115510518,50201929,50201929,Football,92.30%
2018,Ohio,1,NCAA Division I-FBS,7723,120,9100410,9100410,9100410,Football,69.20%
2018,Ohio State,1,NCAA Division I-FBS,21881,131,115091304,60076743,60076743,Football,92.90%
2018,Oklahoma,1,NCAA Division I-FBS,9248,119,94817907,43453315,43453315,Football,85.70%
2018,Oklahoma State,1,NCAA Division I-FBS,8939,135,52218241,24289694,24289694,Football,53.90%
2018,Old Dominion University,1,NCAA Division I-FBS,6747,119,11415018,11415018,11415018,Football,33.30%
2018,Oregon,1,NCAA Division I-FBS,8054,120,72146320,33024841,33024841,Football,69.20%
2018,Oregon State University,1,NCAA Division I-FBS,9795,120,35844057,23695109,23695109,Football,16.70%
2018,Pennsylvania State University-Main Campus,1,NCAA Division I-FBS,20781,127,100133983,48538956,48538956,Football,69.20%
2018,Pittsburgh-Pittsburgh Campus,1,NCAA Division I-FBS,8732,115,39176605,31843372,31843372,Football,50.00%
2018,Purdue University-Main Campus,1,NCAA Division I-FBS,18331,118,54752462,27342141,27342141,Football,46.20%
2018,Rice University,1,NCAA Division I-FBS,2020,96,12892595,12892595,12892595,Football,15.40%
2018,Rutgers University-New Brunswick,1,NCAA Division I-FBS,16916,118,26698913,26698913,26698913,Football,8.30%
2018,San Diego State University,1,NCAA Division I-FBS,12196,113,13422004,16070045,16070045,Football,53.90%
2018,San Jose State University,1,NCAA Division I-FBS,11556,108,8512268,8512268,8512268,Football,8.30%
2018,South Alabama,1,NCAA Division I-FBS,3516,117,9783711,10130130,10130130,Football,25.00%
2018,South Carolina-Columbia,1,NCAA Division I-FBS,11772,119,65004536,36206781,36206781,Football,53.90%
2018,South Florida-Main Campus,1,NCAA Division I-FBS,10900,113,16760097,16760097,16760097,Football,53.90%
2018,Southern Methodist University,1,NCAA Division I-FBS,3206,122,20519325,20519325,20519325,Football,41.70%
2018,Southern Mississippi,1,NCAA Division I-FBS,3463,114,7068057,7068057,7068057,Football,54.60%
2018,Stanford University,1,NCAA Division I-FBS,3535,102,44462092,30470121,30470121,Football,69.20%
2018,Syracuse University,1,NCAA Division I-FBS,6589,125,43813014,28000705,28000705,Football,76.90%
2018,TCU,1,NCAA Division I-FBS,3746,135,65384773,40861131,40861131,Football,53.90%
2018,Temple University,1,NCAA Division I-FBS,12298,121,24397873,24397873,24397873,Football,61.50%
2018,Tennessee-Knoxville,1,NCAA Division I-FBS,10485,125,91022335,35170599,35170599,Football,41.70%
2018,Texas,1,NCAA Division I-FBS,17313,115,156147208,43200270,43200270,Football,71.40%
2018,Texas A&M,1,NCAA Division I-FBS,24703,125,73517543,42803201,42803201,Football,69.20%
2018,Texas State University,1,NCAA Division I-FBS,11625,120,9706628,9706628,9706628,Football,25.00%
2018,Texas Tech University,1,NCAA Division I-FBS,14631,123,51075082,20765181,20765181,Football,41.70%
2018,Toledo,1,NCAA Division I-FBS,6552,116,11696094,11696094,11696094,Football,53.90%
2018,Troy University,1,NCAA Division I-FBS,3542,119,8995915,8571387,8571387,Football,76.90%
2018,Tulane Louisiana,1,NCAA Division I-FBS,2817,120,13291710,13291710,13291710,Football,53.90%
2018,Tulsa,1,NCAA Division I-FBS,1732,125,15231473,15231473,15231473,Football,25.00%
2018,UCLA,1,NCAA Division I-FBS,12998,116,41288698,35463068,35463068,Football,25.00%
2018,USC,1,NCAA Division I-FBS,9240,116,50046008,32124522,32124522,Football,41.70%
2018,Utah,1,NCAA Division I-FBS,9574,131,63181908,29262589,29262589,Football,64.30%
2018,Utah State University,1,NCAA Division I-FBS,8301,110,10010163,10010163,10010163,Football,84.60%
2018,VA Tech,1,NCAA Division I-FBS,15416,120,56224912,30123282,30123282,Football,46.20%
2018,Vanderbilt University,1,NCAA Division I-FBS,3295,104,32108897,28610632,28610632,Football,46.20%
2018,Virginia-Main Campus,1,NCAA Division I-FBS,7240,127,33726985,26280855,26280855,Football,61.50%
2018,Wake Forest University,1,NCAA Division I-FBS,2439,119,26722457,21462286,21462286,Football,25.00%
2018,Washington State University,1,NCAA Division I-FBS,10833,124,45338410,22052168,22052168,Football,53.90%
2018,Washington-Seattle Campus,1,NCAA Division I-FBS,13552,114,84041770,40474139,40474139,Football,66.70%
2018,West Virginia University,1,NCAA Division I-FBS,10170,132,24692746,22290035,22290035,Football,53.90%
2018,Western Kentucky University,1,NCAA Division I-FBS,5139,127,8151383,8151383,8151383,Football,84.60%
2018,Western Michigan University,1,NCAA Division I-FBS,7712,105,9257979,9257979,9257979,Football,71.40%
2018,Wisconsin-Madison,1,NCAA Division I-FBS,13930,115,89944636,31714090,31714090,Football,61.50%
2018,Wyoming,1,NCAA Division I-FBS,4301,116,13649998,13649998,13649998,Football,50.00%
2017,Akron Main Campus,1,NCAA Division I-FBS,7144,105,7396137,7396137,7396137,Football,50.00%
2017,Alabama,1,NCAA Division I-FBS,13351,138,111102134,62944472,62944472,Football,92.90%
2017,Appalachian State University,1,NCAA Division I-FBS,7172,120,9247671,9247671,9247671,Football,69.20%
2017,Arizona,1,NCAA Division I-FBS,13852,128,44011760,32153926,32153926,Football,53.90%
2017,Arizona State University-Tempe,1,NCAA Division I-FBS,21779,125,47463786,50151443,50151443,Football,53.90%
2017,Arkansas,1,NCAA Division I-FBS,9529,123,67851084,44633637,44633637,Football,33.30%
2017,Arkansas State University-Main Campus,1,NCAA Division I-FBS,2944,121,6518834,6518834,6518834,Football,58.30%
2017,Auburn University,1,NCAA Division I-FBS,10584,110,93562715,43605320,43605320,Football,71.40%
2017,Ball State University,1,NCAA Division I-FBS,6190,113,7205016,7205016,7205016,Football,16.70%
2017,Baylor University,1,NCAA Division I-FBS,5801,121,41528041,28188097,28188097,Football,8.30%
2017,Boise State University,1,NCAA Division I-FBS,5682,109,20470985,11803457,11803457,Football,78.60%
2017,Boston College,1,NCAA Division I-FBS,4495,106,32378875,23477213,23477213,Football,53.90%
2017,Bowling Green State University-Main Campus,1,NCAA Division I-FBS,5630,102,6895955,6895955,6895955,Football,16.70%
2017,Brigham Young University-Provo,1,NCAA Division I-FBS,14388,129,28209221,19435229,19435229,Football,30.80%
2017,California-Berkeley,1,NCAA Division I-FBS,14016,119,32650505,25140854,25140854,Football,41.70%
2017,Central Florida,1,NCAA Division I-FBS,18065,132,26822661,21610325,21610325,Football,100.00%
2017,Central Michigan University,1,NCAA Division I-FBS,6696,114,7261558,7261558,7261558,Football,61.50%
2017,Cincinnati-Main Campus,1,NCAA Division I-FBS,11897,114,13856255,13856255,13856255,Football,33.30%
2017,Clemson University,1,NCAA Division I-FBS,9521,122,52029977,46302285,46302285,Football,85.70%
2017,Colorado Boulder,1,NCAA Division I-FBS,14952,110,43468471,22082244,22082244,Football,41.70%
2017,Colorado State University-Fort Collins,1,NCAA Division I-FBS,10253,115,21696561,21696561,21696561,Football,53.90%
2017,Connecticut,1,NCAA Division I-FBS,9096,98,18955517,15135138,15135138,Football,25.00%
2017,Duke University,1,NCAA Division I-FBS,3261,115,37844852,26200992,26200992,Football,53.90%
2017,East Carolina University,1,NCAA Division I-FBS,8643,132,11203863,10578112,10578112,Football,25.00%
2017,Eastern Michigan University,1,NCAA Division I-FBS,4984,113,8551496,8551496,8551496,Football,41.70%
2017,Florida,1,NCAA Division I-FBS,13411,129,87985713,47342367,47342367,Football,78.60%
2017,Florida Atlantic University,1,NCAA Division I-FBS,7020,128,10592032,10592032,10592032,Football,36.40%
2017,Florida International University,1,NCAA Division I-FBS,11403,103,9333891,9236441,9236441,Football,61.50%
2017,Florida State University,1,NCAA Division I-FBS,12663,126,87510028,57732569,57732569,Football,53.90%
2017,GA Southern,1,NCAA Division I-FBS,7763,127,6881771,6881771,6881771,Football,16.70%
2017,GA Tech,1,NCAA Division I-FBS,8510,119,52125034,25096298,25096298,Football,45.50%
2017,Georgia,1,NCAA Division I-FBS,11605,131,129023591,44909546,44909546,Football,86.70%
2017,Georgia State University,1,NCAA Division I-FBS,7989,123,7834970,7834970,7834970,Football,58.30%
2017,Hawaii at Manoa,1,NCAA Division I-FBS,4647,117,11177559,11177559,11177559,Football,25.00%
2017,Houston,1,NCAA Division I-FBS,13372,136,14216992,14216992,14216992,Football,58.30%
2017,Illinois at Urbana-Champaign,1,NCAA Division I-FBS,17464,108,51295520,22217186,22217186,Football,16.70%
2017,Indiana University-Bloomington,1,NCAA Division I-FBS,16179,125,51856180,24374745,24374745,Football,41.70%
2017,Iowa,1,NCAA Division I-FBS,9899,123,75963196,33092807,33092807,Football,61.50%
2017,Iowa State University,1,NCAA Division I-FBS,16398,133,44264830,23088361,23088361,Football,61.50%
2017,Kansas,1,NCAA Division I-FBS,8325,114,34159741,19470504,19470504,Football,8.30%
2017,Kansas State University,1,NCAA Division I-FBS,8854,124,41333499,20571556,20571556,Football,61.50%
2017,Kent State University at Kent,1,NCAA Division I-FBS,7303,100,6889811,6889811,6889811,Football,16.70%
2017,Kentucky,1,NCAA Division I-FBS,9218,123,40035938,27206659,27206659,Football,53.90%
